countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Beaver,June,11,0,0,NA,NA,NA,
Box elder,June,90,0,0,9,0,0,0
Cache,June,168,0,0,28,0,0,0
Carbon,June,40,0,0,4,0,0,0
Daggett,June,7,0,0,NA,NA,NA,
Davis,June,502,1,0.2,54,0,0,-100
Duchesne,June,31,0,0,1,0,0,0
Emery,June,30,0,0,3,0,0,0
Garfield,June,17,0,0,2,0,0,0
Grand,June,41,0,0,2,0,0,0
Iron,June,81,1,1.23,4,0,0,-100
Juab,June,33,0,0,NA,NA,NA,
Kane,June,18,0,0,1,0,0,0
Millard,June,34,0,0,NA,NA,NA,
Morgan,June,15,0,0,2,0,0,0
Piute,June,3,0,0,NA,NA,NA,
Rich,June,7,0,0,NA,NA,NA,
Salt lake,June,2408,5,0.21,200,1,0.5,140.8
San juan,June,23,2,8.7,NA,NA,NA,
Sanpete,June,28,0,0,1,0,0,0
Sevier,June,28,0,0,NA,NA,NA,
Summit,June,86,0,0,NA,NA,NA,
Tooele,June,94,0,0,14,0,0,0
Uintah,June,57,0,0,6,0,0,0
Utah,June,780,2,0.26,78,1,1.28,400
Wasatch,June,73,1,1.37,5,0,0,-100
Washington,June,213,2,0.94,36,0,0,-100
Wayne,June,4,0,0,NA,NA,NA,
Weber,June,359,1,0.28,45,0,0,-100
